  block trtmt  y
     1    1    7
     1    2   17
     2    3   26
     2    4   25
     3    5   33
     3    6   29
     4    1   17
     4    3   27
     5    2   23
     5    5   27
     6    4   29
     6    6   30
     7    1   10
     7    4   25
     8    2   26
     8    6   37
     9    3   24
     9    5   26
    10    1   25
    10    5   40
    11    2   25
    11    4   34
    12    3   34
    12    6   32
    13    1   11
    13    6   27
    14    2   24
    14    3   21
    15    4   26
    15    5   32
