  block trtmt    y
    1    11    350.0
    1    12    375.0
    1    13    362.5
    1    21    237.5
    1    22    237.5
    1    23    256.3
    1    31    191.7
    1    32    216.7
    1    33    208.3
    1    11    300.0
    1    12    362.5
    1    13    312.5
    1    21    231.3
    1    22    231.3
    1    23    243.8
    1    31    200.0
    1    32    212.5
    1    33    225.0
    2    11    362.8
    2    12    350.0
    2    13    367.5
    2    21    250.0
    2    22    262.5
    2    23    250.0
    2    31    245.8
    2    32    212.5
    2    33    241.7
    2    11    412.5
    2    12    350.0
    2    13    387.5
    2    21    268.8
    2    22    231.3
    2    23    237.5
    2    31    225.0
    2    32    250.0
    2    33    225.0
    3    11    350.0
    3    12    387.5
    3    13    425.0
    3    21    300.0
    3    22    275.0
    3    23    231.3
    3    31    204.4
    3    32    187.5
    3    33    187.5
    3    11    337.5
    3    12    362.5
    3    13    400.0
    3    21    262.5
    3    22    206.3
    3    23    262.5
    3    31    204.2
    3    32    204.2
    3    33    208.3
    4    11    375.0
    4    12    362.5
    4    13    400.0
    4    21    318.8
    4    22    250.0
    4    23    243.8
    4    31    200.0
    4    32    216.7
    4    33    212.5
    4    11    350.0
    4    12    337.5
    4    13    350.0
    4    21    256.3
    4    22    243.8
    4    23    250.0
    4    31    150.0
    4    32    183.3
    4    33    187.5
