  A B time
  1 1 3600
  1 1 3920
  1 1 3340
  1 1 3173
  1 1 2452
  1 2  495
  1 2  236
  1 2  515
  1 2  573
  1 2  555
  1 3  733
  1 3  525
  1 3  793
  1 3 1026
  1 3  510
  2 1 2029
  2 1 2271
  2 1 2156
  2 1 2493
  2 1 2805
  2 2  428
  2 2  432
  2 2  335
  2 2  288
  2 2  376
  2 3  880
  2 3  759
  2 3 1138
  2 3  780
  2 3 1625
  3 1 3660
  3 1 4105
  3 1 4545
  3 1 3569
  3 1 3342
  3 2  410
  3 2  225
  3 2  437
  3 2  350
  3 2  140
  3 3  539
  3 3 1354
  3 3  347
  3 3  584
  3 3  781 
