  block trtmt  y
    1     1   35
    1     6   35
    1     8   20
    1    10   80
    1    15   65
    1    17   10
    2     2   30
    2     4   25
    2     9   10
    2    11   75
    2    13   60
    2    18   15
    3     3   30
    3     5   30
    3     7   30
    3    12   75
    3    14   60
    3    16   15
    4     1   20
    4     5   30
    4     9   15
    4    10   80
    4    14   65
    4    18   20
    5     2   20
    5     6   15
    5     7   10
    5    11   80
    5    15   65
    5    16   15
    6     3   20
    6     4   15
    6     8   20
    6    12   70
    6    13   50
    6    17   15
