  block  TC  A B C D yield
    1   0000 0 0 0 0   58
    2   0001 0 0 0 1   55
    3   0000 0 0 0 0   57
    4   0001 0 0 0 1   50
    1   0011 0 0 1 1   51
    2   0010 0 0 1 0   45
    3   0011 0 0 1 1   56
    4   0010 0 0 1 0   39
    1   0101 0 1 0 1   44
    2   0100 0 1 0 0   42
    3   0101 0 1 0 1   43
    4   0100 0 1 0 0   47
    1   0110 0 1 1 0   50
    2   0111 0 1 1 1   36
    3   0110 0 1 1 0   39
    4   0111 0 1 1 1   43
    1   1001 1 0 0 1   43
    2   1000 1 0 0 0   53
    3   1001 1 0 0 1   52
    4   1000 1 0 0 0   42
    1   1010 1 0 1 0   50
    2   1011 1 0 1 1   55
    3   1010 1 0 1 0   52
    4   1011 1 0 1 1   44
    1   1100 1 1 0 0   41
    2   1101 1 1 0 1   41
    3   1100 1 1 0 0   42
    4   1101 1 1 0 1   34
    1   1111 1 1 1 1   44
    2   1110 1 1 1 0   48
    3   1111 1 1 1 1   54
    4   1110 1 1 1 0   52
