point  zP   xP     zH   xH     zT   xT        y
  1    -1  1.25    -1  2.75    -1   20       50   
  2     1  2.75    -1  2.75    -1   20       48   
  3    -1  1.25     1  3.25    -1   20    16700   
  4     1  2.75     1  3.25    -1   20      560   
  5    -1  1.25    -1  2.75     1   40      320   
  6     1  2.75    -1  2.75     1   40       18   
  7    -1  1.25     1  3.25     1   40    19000   
  8     1  2.75     1  3.25     1   40     5000   
  9    -2  0.50     0  3.00     0   30    12700   
 10     2  3.50     0  3.00     0   30      182   
 11     0  2.00    -2  2.50     0   30       14   
 12     0  2.00     2  3.50     0   30    27800   
 13     0  2.00     0  3.00    -2   10      133   
 14     0  2.00     0  3.00     2   50     4300   
 15     0  2.00     0  3.00     0   30       57   
 16     0  2.00     0  3.00     0   30       70   
 17     0  2.00     0  3.00     0   30       58   
 18     0  2.00     0  3.00     0   30       56  
