   TC   A B C D E F day  y
 000000 0 0 0 0 0 0  1  519
 000000 0 0 0 0 0 0  2  446
 000000 0 0 0 0 0 0  3  337
 000000 0 0 0 0 0 0  4  415
 000011 0 0 0 0 1 1  1  503
 000011 0 0 0 0 1 1  2  468
 000011 0 0 0 0 1 1  3  343
 000011 0 0 0 0 1 1  4  418
 001101 0 0 1 1 0 1  1  567
 001101 0 0 1 1 0 1  2  471
 001101 0 0 1 1 0 1  3  355
 001101 0 0 1 1 0 1  4  424
 001110 0 0 1 1 1 0  1  552
 001110 0 0 1 1 1 0  2  489
 001110 0 0 1 1 1 0  3  361
 001110 0 0 1 1 1 0  4  425
 010101 0 1 0 1 0 1  1  534
 010101 0 1 0 1 0 1  2  466
 010101 0 1 0 1 0 1  3  356
 010101 0 1 0 1 0 1  4  431
 010110 0 1 0 1 1 0  1  549
 010110 0 1 0 1 1 0  2  461
 010110 0 1 0 1 1 0  3  354
 010110 0 1 0 1 1 0  4  427
 011000 0 1 1 0 0 0  1  560
 011000 0 1 1 0 0 0  2  480
 011000 0 1 1 0 0 0  3  345
 011000 0 1 1 0 0 0  4  437
 011011 0 1 1 0 1 1  1  535
 011011 0 1 1 0 1 1  2  477
 011011 0 1 1 0 1 1  3  363
 011011 0 1 1 0 1 1  4  418
 100100 1 0 0 1 0 0  1  558
 100100 1 0 0 1 0 0  2  483
 100100 1 0 0 1 0 0  3  376
 100100 1 0 0 1 0 0  4  418
 100111 1 0 0 1 1 1  1  551
 100111 1 0 0 1 1 1  2  472
 100111 1 0 0 1 1 1  3  349
 100111 1 0 0 1 1 1  4  426
 101001 1 0 1 0 0 1  1  576
 101001 1 0 1 0 0 1  2  487
 101001 1 0 1 0 0 1  3  358
 101001 1 0 1 0 0 1  4  434
 101010 1 0 1 0 1 0  1  569
 101010 1 0 1 0 1 0  2  494
 101010 1 0 1 0 1 0  3  357
 101010 1 0 1 0 1 0  4  444
 110001 1 1 0 0 0 1  1  562
 110001 1 1 0 0 0 1  2  474
 110001 1 1 0 0 0 1  3  358
 110001 1 1 0 0 0 1  4  404
 110010 1 1 0 0 1 0  1  569
 110010 1 1 0 0 1 0  2  494
 110010 1 1 0 0 1 0  3  348
 110010 1 1 0 0 1 0  4  400
 111100 1 1 1 1 0 0  1  568
 111100 1 1 1 1 0 0  2  478
 111100 1 1 1 1 0 0  3  367
 111100 1 1 1 1 0 0  4  463
 111111 1 1 1 1 1 1  1  551
 111111 1 1 1 1 1 1  2  500
 111111 1 1 1 1 1 1  3  373
 111111 1 1 1 1 1 1  4  462
