        zB     zC    zD      y1    y2    y3    y4    mean     logs 
        -1     -1    -1     586   399   418   404   451.75   195.36   
        -1     -1     1     615   411   435   421   470.50   198.60   
        -1      1    -1     611   422   431   439   475.75   195.63   
        -1      1     1     639   436   444   454   493.25   198.88   
         1     -1    -1     603   422   400   430   463.75   197.17   
         1     -1     1     622   411   425   436   473.50   199.79   
         1      1    -1     634   471   436   425   491.50   198.68   
         1      1     1     673   433   423   462   497.75   207.19   
        1.2872  0     0     618   414   419   477   482.00   197.80     
       -1.2872  0     0     586   421   420   455   470.50   189.60   
         0    1.2872  0     621   426   427   458   483.00   196.94   
         0   -1.2872  0     629   412   412   426   469.75   202.68   
         0      0   1.2872  631   411   433   453   482.00   200.35   
         0      0  -1.2872  587   413   419   430   462.25   192.15   
         0      0     0     604   432   416   438   472.50   194.53   
         0      0     0     602   425   407   439   468.25   195.48   
