       run  z1       z2       z3       z4      yield
         1  1.00000  1.00000  1.00000  1.00000  27.6
         2 -1.00000 -1.00000  1.00000  1.00000  16.6
         3  1.00000 -1.00000 -1.00000  1.00000  15.4
         4 -1.00000  1.00000 -1.00000  1.00000  17.4
         5  1.00000 -1.00000  1.00000 -1.00000  17.0
         6 -1.00000  1.00000  1.00000 -1.00000  19.0
         7  1.00000  1.00000 -1.00000 -1.00000  17.4
         8 -1.00000 -1.00000 -1.00000 -1.00000  12.6
         9  1.00000 -1.00000  1.00000  1.00000  18.6
        10 -1.00000  1.00000  1.00000  1.00000  22.4
        11  1.00000  1.00000 -1.00000  1.00000  21.4
        12 -1.00000 -1.00000 -1.00000  1.00000  14.0
        13  1.00000  1.00000  1.00000 -1.00000  24.0
        14 -1.00000 -1.00000  1.00000 -1.00000  15.6
        15  1.00000 -1.00000 -1.00000 -1.00000  13.0
        16 -1.00000  1.00000 -1.00000 -1.00000  14.4
        17  0.00000  0.00000  0.00000  0.00000  22.6
        18  1.41421  0.00000  0.00000  0.00000  23.4
        19 -1.41421  0.00000  0.00000  0.00000  20.6
        20  0.00000  1.41421  0.00000  0.00000  22.6
        21  0.00000 -1.41421  0.00000  0.00000  13.4
        22  0.00000  0.00000  1.41421  0.00000  20.6
        23  0.00000  0.00000 -1.41421  0.00000  15.6
        24  0.00000  0.00000  0.00000  1.41421  21.0
        25  0.00000  0.00000  0.00000 -1.41421  17.6

