  block C D    y    order
    1   1 1  899.99   3
    1   1 1  910.81   5
    1   1 1  927.79  10
    1   1 1  888.77  11
    1   1 1  911.93  16
    1   1 2  924.92   2
    1   1 2  900.10   6
    1   1 2  923.55  12
    1   1 2  891.56  17
    1   1 2  885.73  20
    1   2 1  888.09   4
    1   2 1  954.11   7
    1   2 1  937.41   9
    1   2 1  911.85  14
    1   2 1  908.41  18
    1   2 2  884.01   1
    1   2 2  918.36   8
    1   2 2  880.23  13
    1   2 2  891.16  15
    1   2 2  917.16  19
    2   1 1  852.94  22
    2   1 1  866.28  27
    2   1 1  886.65  28
    2   1 1  851.14  33
    2   1 1  869.80  34
    2   1 2  882.95  21
    2   1 2  865.58  24
    2   1 2  868.15  25
    2   1 2  893.82  37
    2   1 2  875.98  38
    2   2 1  920.93  26
    2   2 1  880.26  31
    2   2 1  897.10  35
    2   2 1  893.78  39
    2   2 1  885.80  40
    2   2 2  872.50  23
    2   2 2  892.76  29
    2   2 2  895.93  30
    2   2 2  899.44  32
    2   2 2  912.00  36
