    A  B  C  D  E  F  G  H  I  J  K  L  M  N  P    y
    1  1  1  1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1.4659
   -1  1  1  1  1 -1  1 -1  1  1 -1 -1  1 -1 -1  1.4284
   -1 -1  1  1  1  1 -1  1 -1  1  1 -1 -1  1 -1  1.1367
   -1 -1 -1  1  1  1  1 -1  1 -1  1  1 -1 -1  1  2.3041
    1 -1 -1 -1  1  1  1  1 -1  1 -1  1  1 -1 -1  2.2765
   -1  1 -1 -1 -1  1  1  1  1 -1  1 -1  1  1 -1  1.2114
   -1 -1  1 -1 -1 -1  1  1  1  1 -1  1 -1  1  1  1.8786
    1 -1 -1  1 -1 -1 -1  1  1  1  1 -1  1 -1  1  0.9304
    1  1 -1 -1  1 -1 -1 -1  1  1  1  1 -1  1 -1  0.9730
   -1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1 -1  1  1.1137
    1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1 -1  0.9961
   -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1  1.0268
    1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1.7966
    1  1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1.2928
    1  1  1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1  0.8937
   -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1.0449
