  block trtmt A B C D E   y
    1   01101 0 1 1 0 1  844
    1   00011 0 0 0 1 1 1104
    1   10100 1 0 1 0 0 1156
    1   11111 1 1 1 1 1 1508
    1   11010 1 1 0 1 0 1312
    1   00110 0 0 1 1 0 1000
    1   10001 1 0 0 0 1 1176
    1   01000 0 1 0 0 0  888
    2   00001 0 0 0 0 1 1248
    2   01111 0 1 1 1 1 1100
    2   00100 0 0 1 0 0  784
    2   10011 1 0 0 1 1 1376
    2   11101 1 1 1 0 1 1356
    2   10110 1 0 1 1 0 1376
    2   11000 1 1 0 0 0 1008
    2   01010 0 1 0 1 0  964
    3   00101 0 0 1 0 1  896
    3   11001 1 1 0 0 1 1284
    3   01011 0 1 0 1 1  996
    3   01110 0 1 1 1 0  860
    3   10010 1 0 0 1 0 1184
    3   11100 1 1 1 0 0  984
    3   00000 0 0 0 0 0  740
    3   10111 1 0 1 1 1 1468
    4   10101 1 0 1 0 1 1328
    4   11110 1 1 1 1 0 1292
    4   00111 0 0 1 1 1 1008
    4   11011 1 1 0 1 1 1324
    4   01001 0 1 0 0 1 1008
    4   01100 0 1 1 0 0  692
    4   00010 0 0 0 1 0  780
    4   10000 1 0 0 0 0 1108
