        block  C  D  E  F  y order
            1  1  1  1  1 10     5
            1  1  1  1  2  6    22
            1  1  1  1  3 18    27
            1  1  1  2  1 13    33
            1  1  1  2  2  6    16
            1  1  1  2  3  5    14
            1  1  2  1  1 17    30
            1  1  2  1  2 11    11
            1  1  2  1  3  9    28
            1  1  2  2  1  7    34
            1  1  2  2  2  9    10
            1  1  2  2  3  7    13
            1  1  3  1  1 15     2
            1  1  3  1  2  9     3
            1  1  3  1  3  9    25
            1  1  3  2  1 14     9
            1  1  3  2  2 12    29
            1  1  3  2  3  7     8
            1  2  1  1  1  7     7
            1  2  1  1  2 15    36
            1  2  1  1  3  9    21
            1  2  1  2  1 11    18
            1  2  1  2  2 12    17
            1  2  1  2  3  9    19
            1  2  2  1  1  5    20
            1  2  2  1  2 13    24
            1  2  2  1  3 11     4
            1  2  2  2  1 12     1
            1  2  2  2  2 12    23
            1  2  2  2  3 10    31
            1  2  3  1  1 19    35
            1  2  3  1  2 19    15
            1  2  3  1  3 13     6
            1  2  3  2  1 16    32
            1  2  3  2  2 21    12
            1  2  3  2  3 13    26
            2  1  1  1  1 20    35
            2  1  1  1  2  9    24
            2  1  1  1  3 15    32
            2  1  1  2  1 12     3
            2  1  1  2  2  6     5
            2  1  1  2  3 21    30
            2  1  2  1  1 19    16
            2  1  2  1  2 11    33
            2  1  2  1  3 19    28
            2  1  2  2  1 16    25
            2  1  2  2  2 17    11
            2  1  2  2  3  8     7
            2  1  3  1  1 13     6
            2  1  3  1  2 14     8
            2  1  3  1  3 17    15
            2  1  3  2  1 20    31
            2  1  3  2  2 20    20
            2  1  3  2  3 20    29
            2  2  1  1  1 22    19
            2  2  1  1  2 21    18
            2  2  1  1  3 11    17
            2  2  1  2  1 22    14
            2  2  1  2  2 11    34
            2  2  1  2  3 15     1
            2  2  2  1  1 24    10
            2  2  2  1  2 25     4
            2  2  2  1  3 25    26
            2  2  2  2  1 22    23
            2  2  2  2  2 21    36
            2  2  2  2  3 22    21
            2  2  3  1  1 25    13
            2  2  3  1  2 12     9
            2  2  3  1  3 24    22
            2  2  3  2  1 21    27
            2  2  3  2  2 15    12
            2  2  3  2  3 17     2
            3  1  1  1  1  7    10
            3  1  1  1  2 11    27
            3  1  1  1  3 10    29
            3  1  1  2  1 11    34
            3  1  1  2  2 11    32
            3  1  1  2  3 10     5
            3  1  2  1  1  9    18
            3  1  2  1  2  4    26
            3  1  2  1  3 10     2
            3  1  2  2  1  5    33
            3  1  2  2  2 11    16
            3  1  2  2  3  9    20
            3  1  3  1  1 10     3
            3  1  3  1  2 13    14
            3  1  3  1  3 13    35
            3  1  3  2  1  7     4
            3  1  3  2  2 16    22
            3  1  3  2  3 13     7
            3  2  1  1  1 12    19
            3  2  1  1  2 14    23
            3  2  1  1  3 12     8
            3  2  1  2  1 10     9
            3  2  1  2  2 15    21
            3  2  1  2  3 13    31
            3  2  2  1  1 10     6
            3  2  2  1  2 19    11
            3  2  2  1  3  9    17
            3  2  2  2  1 14    15
            3  2  2  2  2 15    25
            3  2  2  2  3 14    13
            3  2  3  1  1 13    28
            3  2  3  1  2 15    12
            3  2  3  1  3 13     1
            3  2  3  2  1 11    24
            3  2  3  2  2 14    36
            3  2  3  2  3 18    30
            4  1  1  1  1 10    24
            4  1  1  1  2 13    13
            4  1  1  1  3 14     5
            4  1  1  2  1 17    21
            4  1  1  2  2 11    10
            4  1  1  2  3 10     6
            4  1  2  1  1 13    16
            4  1  2  1  2 16    29
            4  1  2  1  3 11    22
            4  1  2  2  1 16    36
            4  1  2  2  2 11    34
            4  1  2  2  3  9     2
            4  1  3  1  1 14     9
            4  1  3  1  2 14    15
            4  1  3  1  3 21     8
            4  1  3  2  1 19    18
            4  1  3  2  2  6     1
            4  1  3  2  3 11    17
            4  2  1  1  1 18    23
            4  2  1  1  2 21    35
            4  2  1  1  3 16    27
            4  2  1  2  1 11    26
            4  2  1  2  2 19    12
            4  2  1  2  3 17    20
            4  2  2  1  1 17    28
            4  2  2  1  2 22     4
            4  2  2  1  3 14    32
            4  2  2  2  1 24    31
            4  2  2  2  2 14    19
            4  2  2  2  3 23     7
            4  2  3  1  1 25    30
            4  2  3  1  2 19    14
            4  2  3  1  3 15    25
            4  2  3  2  1 19    11
            4  2  3  2  2 21    33
            4  2  3  2  3 19     3
            5  1  1  1  1 18    20
            5  1  1  1  2 10    10
            5  1  1  1  3 10    33
            5  1  1  2  1  6    12
            5  1  1  2  2 11    28
            5  1  1  2  3  4     2
            5  1  2  1  1 12    13
            5  1  2  1  2 14    18
            5  1  2  1  3  5    15
            5  1  2  2  1  8    21
            5  1  2  2  2 17    25
            5  1  2  2  3  9     5
            5  1  3  1  1 18    34
            5  1  3  1  2 11    29
            5  1  3  1  3 20    30
            5  1  3  2  1 15    31
            5  1  3  2  2 17    27
            5  1  3  2  3 18     7
            5  2  1  1  1  4     9
            5  2  1  1  2 18    26
            5  2  1  1  3  9    19
            5  2  1  2  1 10     3
            5  2  1  2  2 18     4
            5  2  1  2  3 14     8
            5  2  2  1  1 19    14
            5  2  2  1  2 17    16
            5  2  2  1  3 18    35
            5  2  2  2  1 16    23
            5  2  2  2  2 14    11
            5  2  2  2  3 17    17
            5  2  3  1  1 12    24
            5  2  3  1  2 14     6
            5  2  3  1  3 13    32
            5  2  3  2  1 16    36
            5  2  3  2  2 23    22
            5  2  3  2  3  9     1
