  wordtype distract trtmt    y   z
     1        1      13     20  0.27
     1        1      13     14 -2.16
     1        1      13     24  1.89
     1        2      13     15 -1.21
     1        2      13     22  1.62
     1        2      13     17 -0.40
     1        3      13     17  1.21
     1        3      13     13 -0.40
     1        3      13     12 -0.81
     2        1      23     19  0.67
     2        1      23     14 -1.35
     2        1      23     19  0.67
     2        2      23     12 -0.13
     2        2      23     11 -0.54
     2        2      23     14  0.67
     2        3      23     12  0.13
     2        3      23     15  1.35
     2        3      23      8 -1.48
     3        1      33     11 -0.67
     3        1      33     12 -0.27
     3        1      33     15  0.94
     3        2      33      8 -0.13
     3        2      33      8 -0.13
     3        2      33      9  0.27
     3        3      33     12  0.94
     3        3      33      7 -1.08
     3        3      33     10  0.13
