  sample operator  y 
     1      1     0.63
     1      1     0.60
     1      2     0.62
     1      2     0.62
     1      3     0.60
     1      3     0.60
     1      4     0.59
     1      4     0.61
     2      1     0.64
     2      1     0.63
     2      2     0.63
     2      2     0.64
     2      3     0.67
     2      3     0.65
     2      4     0.62
     2      4     0.64
     3      1     0.60
     3      1     0.58
     3      2     0.60
     3      2     0.61
     3      3     0.60
     3      3     0.60
     3      4     0.58
     3      4     0.60
     4      1     0.75
     4      1     0.74
     4      2     0.74
     4      2     0.74
     4      3     0.74
     4      3     0.73
     4      4     0.73
     4      4     0.76
     5      1     0.71
     5      1     0.68
     5      2     0.69
     5      2     0.70
     5      3     0.69
     5      3     0.67
     5      4     0.68
     5      4     0.71
     6      1     0.65
     6      1     0.63
     6      2     0.62
     6      2     0.65
     6      3     0.63
     6      3     0.64
     6      4     0.62
     6      4     0.64
     7      1     0.67
     7      1     0.64
     7      2     0.66
     7      2     0.67
     7      3     0.65
     7      3     0.65
     7      4     0.64
     7      4     0.66
     8      1     0.65
     8      1     0.63
     8      2     0.65
     8      2     0.64
     8      3     0.62
     8      3     0.62
     8      4     0.60
     8      4     0.62
     9      1     0.68
     9      1     0.66
     9      2     0.67
     9      2     0.68
     9      3     0.67
     9      3     0.67
     9      4     0.65
     9      4     0.68
    10      1     0.67
    10      1     0.64
    10      2     0.66
    10      2     0.66
    10      3     0.65
    10      3     0.64
    10      4     0.64
    10      4     0.66
