  zA zB zC zD zE zF    y
   1 -1  1 -1 -1 -1  1.09
   1 -1  1 -1 -1 -1  1.12
   1 -1  1 -1 -1 -1  0.83
   1 -1  1 -1 -1 -1  0.88
  -1 -1  1 -1  1  1  1.62
  -1 -1  1 -1  1  1  1.49
  -1 -1  1 -1  1  1  1.48
  -1 -1  1 -1  1  1  1.59
   1  1 -1 -1 -1  1  0.88
   1  1 -1 -1 -1  1  1.29
   1  1 -1 -1 -1  1  1.04
   1  1 -1 -1 -1  1  1.31
  -1  1 -1 -1  1 -1  1.83
  -1  1 -1 -1  1 -1  1.65
  -1  1 -1 -1  1 -1  1.71
  -1  1 -1 -1  1 -1  1.76
  -1 -1 -1  1 -1  1  1.46
  -1 -1 -1  1 -1  1  1.51
  -1 -1 -1  1 -1  1  1.59
  -1 -1 -1  1 -1  1  1.40
   1 -1 -1  1  1 -1  0.74
   1 -1 -1  1  1 -1  0.98
   1 -1 -1  1  1 -1  0.79
   1 -1 -1  1  1 -1  0.83
  -1  1  1  1 -1 -1  2.05
  -1  1  1  1 -1 -1  2.17
  -1  1  1  1 -1 -1  2.36
  -1  1  1  1 -1 -1  2.12
   1  1  1  1  1  1  1.51
   1  1  1  1  1  1  1.46
   1  1  1  1  1  1  1.42
   1  1  1  1  1  1  1.40
