  trtmt   A B C D    y  AL AQ BL BQ CL CQ DL DQ 
   0000   0 0 0 0   4.2 -1  1 -1  1 -1  1 -1  1
   0012   0 0 1 2   5.9 -1  1 -1  1  0 -2  1  1
   0021   0 0 2 1   8.2 -1  1 -1  1  1  1  0 -2
   0102   0 1 0 2  13.1 -1  1  0 -2 -1  1  1  1
   0111   0 1 1 1  16.4 -1  1  0 -2  0 -2  0 -2
   0120   0 1 2 0  30.7 -1  1  0 -2  1  1 -1  1
   0201   0 2 0 1   9.5 -1  1  1  1 -1  1  0 -2
   0210   0 2 1 0  22.2 -1  1  1  1  0 -2 -1  1
   0222   0 2 2 2  31.0 -1  1  1  1  1  1  1  1
   1002   1 0 0 2   7.7  0 -2 -1  1 -1  1  1  1
   1011   1 0 1 1  16.5  0 -2 -1  1  0 -2  0 -2
   1020   1 0 2 0  14.3  0 -2 -1  1  1  1 -1  1
   1101   1 1 0 1  11.0  0 -2  0 -2 -1  1  0 -2
   1110   1 1 1 0  29.0  0 -2  0 -2  0 -2 -1  1
   1122   1 1 2 2  55.0  0 -2  0 -2  1  1  1  1
   1200   1 2 0 0   8.5  0 -2  1  1 -1  1 -1  1
   1212   1 2 1 2  37.4  0 -2  1  1  0 -2  1  1
   1221   1 2 2 1  66.3  0 -2  1  1  1  1  0 -2
   2001   2 0 0 1  11.4  1  1 -1  1 -1  1  0 -2
   2010   2 0 1 0  21.1  1  1 -1  1  0 -2 -1  1
   2022   2 0 2 2  57.9  1  1 -1  1  1  1  1  1
   2100   2 1 0 0  13.5  1  1  0 -2 -1  1 -1  1
   2112   2 1 1 2  51.6  1  1  0 -2  0 -2  1  1
   2121   2 1 2 1  76.5  1  1  0 -2  1  1  0 -2
   2202   2 2 0 2  31.0  1  1  1  1 -1  1  1  1
   2211   2 2 1 1  74.5  1  1  1  1  0 -2  0 -2
   2220   2 2 2 0  85.1  1  1  1  1  1  1 -1  1
   0000   0 0 0 0   4.2 -1  1 -1  1 -1  1 -1  1
   0012   0 0 1 2   5.9 -1  1 -1  1  0 -2  1  1
   0021   0 0 2 1   8.2 -1  1 -1  1  1  1  0 -2
   0102   0 1 0 2  13.1 -1  1  0 -2 -1  1  1  1
   0111   0 1 1 1  16.4 -1  1  0 -2  0 -2  0 -2
   0120   0 1 2 0  30.7 -1  1  0 -2  1  1 -1  1
   0201   0 2 0 1   9.5 -1  1  1  1 -1  1  0 -2
   0210   0 2 1 0  22.2 -1  1  1  1  0 -2 -1  1
   0222   0 2 2 2  31.0 -1  1  1  1  1  1  1  1
   1002   1 0 0 2   7.7  0 -2 -1  1 -1  1  1  1
   1011   1 0 1 1  16.5  0 -2 -1  1  0 -2  0 -2
   1020   1 0 2 0  14.3  0 -2 -1  1  1  1 -1  1
   1101   1 1 0 1  11.0  0 -2  0 -2 -1  1  0 -2
   1110   1 1 1 0  29.0  0 -2  0 -2  0 -2 -1  1
   1122   1 1 2 2  55.0  0 -2  0 -2  1  1  1  1
   1200   1 2 0 0   8.5  0 -2  1  1 -1  1 -1  1
   1212   1 2 1 2  37.4  0 -2  1  1  0 -2  1  1
   1221   1 2 2 1  66.3  0 -2  1  1  1  1  0 -2
   2001   2 0 0 1  11.4  1  1 -1  1 -1  1  0 -2
   2010   2 0 1 0  21.1  1  1 -1  1  0 -2 -1  1
   2022   2 0 2 2  57.9  1  1 -1  1  1  1  1  1
   2100   2 1 0 0  13.5  1  1  0 -2 -1  1 -1  1
   2112   2 1 1 2  51.6  1  1  0 -2  0 -2  1  1
   2121   2 1 2 1  76.5  1  1  0 -2  1  1  0 -2
   2202   2 2 0 2  31.0  1  1  1  1 -1  1  1  1
   2211   2 2 1 1  74.5  1  1  1  1  0 -2  0 -2
   2220   2 2 2 0  85.1  1  1  1  1  1  1 -1  1
