  trtmt A B C D E    y  cA cB cC cD cE 
  01011 0 1 0 1 1  0.78 -1  1 -1  1  1
  11111 1 1 1 1 1  1.10  1  1  1  1  1
  10000 1 0 0 0 0  1.70  1 -1 -1 -1 -1
  11100 1 1 1 0 0  1.28  1  1  1 -1 -1
  00001 0 0 0 0 1  0.97 -1 -1 -1 -1  1
  01101 0 1 1 0 1  1.47 -1  1  1 -1  1
  00010 0 0 0 1 0  1.85 -1 -1 -1  1 -1
  10110 1 0 1 1 0  2.10  1 -1  1  1 -1
  00111 0 0 1 1 1  0.76 -1 -1  1  1  1
  10011 1 0 0 1 1  0.62  1 -1 -1  1  1
  01110 0 1 1 1 0  1.09 -1  1  1  1 -1
  01000 0 1 0 0 0  1.13 -1  1 -1 -1 -1
  11001 1 1 0 0 1  1.25  1  1 -1 -1  1
  10101 1 0 1 0 1  0.98  1 -1  1 -1  1
  11010 1 1 0 1 0  1.36  1  1 -1  1 -1
  00100 0 0 1 0 0  1.18 -1 -1  1 -1 -1
