  trtmt   A B C   y 
   111    1 1 1   6
   111    1 1 1   9
   111    1 1 1   1
   111    1 1 1   3
   112    1 1 2   6
   112    1 1 2   3
   112    1 1 2   1
   112    1 1 2  -1
   113    1 1 3   5
   113    1 1 3   4
   113    1 1 3   9
   113    1 1 3   6
   121    1 2 1   7
   121    1 2 1   9
   121    1 2 1   5
   121    1 2 1   5
   122    1 2 2   8
   122    1 2 2   7
   122    1 2 2   4
   122    1 2 2   8
   123    1 2 3  10
   123    1 2 3  11
   123    1 2 3   6
   123    1 2 3   4
   131    1 3 1   1
   131    1 3 1   2
   131    1 3 1   0
   131    1 3 1   4
   132    1 3 2   3
   132    1 3 2   2
   132    1 3 2   1
   132    1 3 2   0
   133    1 3 3  -1
   133    1 3 3   2
   133    1 3 3   6
   133    1 3 3   1
   141    1 4 1   6
   141    1 4 1   6
   141    1 4 1   7
   141    1 4 1   3
   142    1 4 2   7
   142    1 4 2   9
   142    1 4 2  11
   142    1 4 2   6
   143    1 4 3  10
   143    1 4 3   5
   143    1 4 3   4
   143    1 4 3   8
   211    2 1 1   4
   211    2 1 1   6
   211    2 1 1   0
   211    2 1 1   1
   212    2 1 2   3
   212    2 1 2   1
   212    2 1 2   1
   212    2 1 2  -2
   213    2 1 3   6
   213    2 1 3   0
   213    2 1 3   3
   213    2 1 3   7
   221    2 2 1   6
   221    2 2 1   5
   221    2 2 1   3
   221    2 2 1   4
   222    2 2 2   6
   222    2 2 2   4
   222    2 2 2   1
   222    2 2 2   3
   223    2 2 3   8
   223    2 2 3   7
   223    2 2 3  10
   223    2 2 3   0
   231    2 3 1  -1
   231    2 3 1   0
   231    2 3 1   0
   231    2 3 1   1
   232    2 3 2   2
   232    2 3 2   0
   232    2 3 2  -1
   232    2 3 2   1
   233    2 3 3   0
   233    2 3 3  -2
   233    2 3 3   4
   233    2 3 3  -4
   241    2 4 1   4
   241    2 4 1   5
   241    2 4 1   5
   241    2 4 1   4
   242    2 4 2   9
   242    2 4 2   4
   242    2 4 2   6
   242    2 4 2   3
   243    2 4 3   4
   243    2 4 3   3
   243    2 4 3   7
   243    2 4 3   0
