  block trtmt C D   y 
    1     12  1 2  75
    1     13  1 3  87
    1     21  2 1  84
    1     22  2 2  93
    1     23  2 3  99
    2     11  1 1  93
    2     12  1 2  84
    2     13  1 3  96
    2     21  2 1  90
    2     22  2 2 108
    3     11  1 1  99
    3     12  1 2  93
    3     13  1 3  96
    3     22  2 2 123
    3     23  2 3 129
    4     11  1 1  99
    4     12  1 2 108
    4     13  1 3  99
    4     21  2 1  99
    4     23  2 3 120
    5     11  1 1  99
    5     13  1 3 111
    5     21  2 1  90
    5     22  2 2 129
    5     23  2 3 141
    6     11  1 1 129
    6     12  1 2 135
    6     21  2 1 120
    6     22  2 2 147
    6     23  2 3 153
