   A  B AB  C AC BC  D  E AE BE  F CE  G  H ABCE mean    logvar
  -1 -1  1 -1  1  1 -1 -1  1  1 -1  1 -1 -1  1  14.821  -0.4425
  -1 -1  1 -1  1  1 -1  1 -1 -1  1 -1  1  1 -1  14.888  -1.1989
  -1 -1  1  1 -1 -1  1 -1  1  1 -1 -1  1  1 -1  14.037  -1.4307
  -1 -1  1  1 -1 -1  1  1 -1 -1  1  1 -1 -1  1  13.880  -0.6505
  -1  1 -1 -1  1 -1  1 -1  1 -1  1  1 -1  1 -1  14.165  -1.4230
  -1  1 -1 -1  1 -1  1  1 -1  1 -1 -1  1 -1  1  13.860  -0.4969
  -1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1 -1  1  14.757  -0.3267
  -1  1 -1  1 -1  1 -1  1 -1  1 -1  1 -1  1 -1  14.921  -0.6270
   1 -1 -1 -1 -1  1  1 -1 -1  1  1  1  1 -1 -1  13.972  -0.3467
   1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1  1  1  14.032  -0.8563
   1 -1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1  1  1  14.843  -0.4369
   1 -1 -1  1  1 -1 -1  1  1 -1 -1  1  1 -1 -1  14.415  -0.3131
   1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  14.878  -0.6154
   1  1  1 -1 -1 -1 -1  1  1  1  1 -1 -1 -1 -1  14.932  -0.2292
   1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  13.907  -0.1190
   1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  13.914  -0.8625 
