  A  B  C  D  E  F  G  H   mean    logvar
  0  0  0  0  0  0  0  0  14.821  -0.4425
  0  0  0  0  1  1  1  1  14.888  -1.1989
  0  0  1  1  0  0  1  1  14.037  -1.4307
  0  0  1  1  1  1  0  0  13.880  -0.6505
  0  1  0  1  0  1  0  1  14.165  -1.4230
  0  1  0  1  1  0  1  0  13.860  -0.4969
  0  1  1  0  0  1  1  0  14.757  -0.3267
  0  1  1  0  1  0  0  1  14.921  -0.6270
  1  0  0  1  0  1  1  0  13.972  -0.3467
  1  0  0  1  1  0  0  1  14.032  -0.8563
  1  0  1  0  0  1  0  1  14.843  -0.4369
  1  0  1  0  1  0  1  0  14.415  -0.3131
  1  1  0  0  0  0  1  1  14.878  -0.6154
  1  1  0  0  1  1  0  0  14.932  -0.2292
  1  1  1  1  0  0  0  0  13.907  -0.1190
  1  1  1  1  1  1  1  1  13.914  -0.8625 
